item_key,item_id,total_sales,total_revenue,volume_rank,price_band,unit_price,abc_class
1,1,401384,922251989.1199999,49,High,2297.68,A
2,2,1069564,251721887.4,22,Mid,235.35,B
3,3,669087,513229874.21999997,36,High,767.06,A
4,4,401907,716905630.32,46,High,1783.76,A
5,5,335230,838075000.0,50,High,2500.0,A
6,6,1068281,297655135.03,24,Mid,278.63,B
7,7,1068777,273692414.15999997,23,Mid,256.08,B
8,8,1405108,120122682.91999999,10,Low,85.49,C
9,9,938379,284478977.64000005,25,Mid,303.16,B
10,10,1337133,124380111.66,11,Low,93.02,C
11,11,1271925,128731529.24999999,12,Low,101.21,C
12,12,1271534,140021324.08,13,Low,110.12,C
13,13,1539621,72901054.35000001,3,Low,47.35,C
14,14,1071531,195779429.01000002,19,Mid,182.71,B
15,15,1607442,64297680.0,1,Low,40.0,C
16,16,468480,705872870.4,44,High,1506.73,A
17,17,602486,502840840.46,37,High,834.61,A
18,18,1538876,79282891.52000001,4,Low,51.52,C
19,19,736892,403300991.59999996,32,Mid,547.3,A
20,20,867641,368651984.49,29,Mid,424.89,B
21,21,736190,476999586.7,34,High,647.93,A
22,22,1469971,106146605.91,8,Low,72.21,C
23,23,534979,575134523.74,40,High,1075.06,A
24,24,1205975,171067553.75,16,Low,141.85,C
25,25,1473334,82595104.04,5,Low,56.06,C
26,26,869981,339727580.5,28,Mid,390.5,B
27,27,402628,660072369.48,45,High,1639.41,A
28,28,1604713,69837109.76,2,Low,43.52,C
29,29,1271240,152319976.79999998,14,Low,119.82,C
30,30,736554,438617907.0,33,Mid,595.5,A
31,31,1070845,212883986.0,20,Mid,198.8,B
32,32,803107,371276366.1,30,Mid,462.3,B
33,33,1270183,165593757.71,15,Low,130.37,C
34,34,469935,650765988.0,43,High,1384.8,A
35,35,1201541,201774780.13,18,Mid,167.93,B
36,36,1406548,110512476.35999998,9,Low,78.57,C
37,37,534258,624937610.34,41,High,1169.73,A
38,38,1470330,97585802.10000001,7,Low,66.37,C
39,39,801311,403067446.11,31,Mid,503.01,A
40,40,534094,679757456.62,42,High,1272.73,A
41,41,401759,848406533.07,48,High,2111.73,A
42,42,669925,472290425.75,35,High,704.99,A
43,43,936635,336158301.5,27,Mid,358.9,B
44,44,536811,487478069.1,38,High,908.1,A
45,45,1471467,89759487.0,6,Low,61.0,C
46,46,1070764,231616960.84,21,Mid,216.31,B
47,47,401781,779788618.23,47,High,1940.83,A
48,48,937703,309310711.58,26,Mid,329.86,B
49,49,535663,529267183.78,39,High,988.06,A
50,50,1203009,185672409.06,17,Mid,154.34,C
